,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
0,202203,1호선,동대문,843,16,11330,1789,8089,5810,13081,10892,16963,21041,15284,19382,13872,17755,15291,18590,18362,19180,19253,18475,20552,18354,21275,16877,21799,16031,22103,15804,20737,16686,14649,16904,11429,11269,10616,8915,9313,8259,3430,8196,20,1431,0,0,0,0,0,0,20220403
1,202203,1호선,동묘앞,131,0,2385,808,3044,3872,5339,8376,8359,19361,6913,14925,7622,16764,11711,22529,17309,25246,22208,28157,25759,26406,29439,22255,30042,15839,25973,11914,18542,8830,8024,6111,5126,4023,4330,3926,3484,4298,1125,3298,14,1711,0,0,0,0,0,0,20220403
2,202203,1호선,서울역,527,9,7877,5587,10214,32887,33049,76154,51901,162519,38945,97579,38098,51770,44216,43856,49494,47987,53094,47524,46486,43746,58705,48059,69960,48759,104829,58319,154574,63617,74238,41439,50648,27963,51920,23562,33549,17564,12282,10263,40,810,0,1,0,0,0,0,20220403
3,202203,1호선,시청,80,0,1651,4430,2627,17551,5925,54519,7783,152634,7644,65309,8913,28383,12923,27619,14627,25247,18553,24331,24487,19891,32541,15764,38157,14185,63472,15032,121746,15813,43230,9105,35970,5305,34519,3826,20066,2608,5979,2093,12,224,0,0,0,0,0,0,20220403
4,202203,1호선,신설동,285,8,7379,2393,7452,10201,15754,21456,22655,54975,15146,29557,13330,18708,15560,16430,17403,16689,19210,16806,18791,15783,21789,16390,28462,17153,35869,18964,50235,23201,18665,16505,12049,10538,10750,9893,8231,8873,3080,7353,38,1018,1,0,0,0,0,0,20220403
5,202203,1호선,제기동,217,5,4345,1805,7173,6868,18827,16302,26394,35824,18764,27655,21008,31389,28315,37739,34750,40649,36031,42600,38668,41367,42908,35489,40876,27416,38852,22209,34734,23388,15544,15702,9346,9901,7169,9073,4741,8410,1669,5903,36,657,0,0,0,0,0,0,20220403
6,202203,1호선,종각,60,3,1958,3762,2703,20371,4885,79758,8610,185756,9597,99571,13531,45641,20302,40436,24527,36793,30244,37305,37568,32158,46955,27469,54849,27425,97879,29719,156132,33576,67006,17268,56214,7157,60603,4682,47896,3121,20771,2141,29,196,0,0,0,0,0,0,20220403
7,202203,1호선,종로3가,99,17,2591,2649,2584,11667,3926,22306,6868,63417,11081,59840,16614,49641,27670,50107,33430,51207,38629,50743,45176,45561,52822,37417,58831,31682,67257,27852,84253,27667,47937,13303,34523,6225,35445,4440,29999,3517,12585,3049,69,521,1,1,1,1,0,0,20220403
8,202203,1호선,종로5가,31,0,1384,3487,2283,13844,4425,38139,7087,89093,10092,54781,16185,44799,25031,45101,31762,44374,37352,41748,44242,39856,48752,33503,52572,27297,68794,22904,85532,20001,42978,11172,27316,5125,23438,4144,15859,2966,4518,1914,21,509,1,0,1,0,0,0,20220403
9,202203,1호선,청량리(서울시립대입구),823,14,9401,4108,13084,21226,30796,14952,39251,29802,25254,26688,23681,30851,31111,35970,34353,36250,36487,40911,37716,41550,42076,39491,49805,34937,44821,34678,37316,40845,20103,25789,14315,15321,10460,14200,6905,12452,2354,7623,33,995,0,0,0,0,0,0,20220403
