Company,Location,Career,School,Job1,Job2,Job3,Job4,Job5,지원자 수
(주)위즈코리아,서울 강서구 외,신입 · 경력 · 정규직 외,학력무관,백엔드/서버개발,웹개발,정보보안,퍼블리셔,프론트엔드,2075
(주)널리소프트,서울 영등포구 외,경력무관 · 정규직,학력무관,백엔드/서버개발,앱개발,웹개발,빅데이터,알고리즘,484
(주)딥노이드,서울 구로구 외,신입 · 경력 · 정규직,학력무관,데이터분석가,데이터엔지니어,백엔드/서버개발,보안컨설팅,웹개발,459
(주)디모아,서울 용산구,신입 · 경력 · 정규직,학력무관,데이터엔지니어,유지보수,SE(시스템엔지니어),빅데이터,클라우드,438
(주)뉴로다임,서울 성동구 외,신입 · 경력 · 정규직,대학교(4년)↑,데이터분석가,SE(시스템엔지니어),딥러닝,머신러닝,블록체인,309
(주)액션파워,서울전체 외,신입 · 경력 · 정규직,석사↑,데이터분석가,웹개발,SE(시스템엔지니어),딥러닝,머신러닝,291
블루닷(주),서울 강남구 외,신입 · 경력 · 정규직,대학교(4년)↑,데이터분석가,네트워크,딥러닝,머신러닝,블록체인,289
(주)바이오커넥트,서울전체 외,신입 · 경력 · 정규직,대학교(4년)↑,데이터분석가,딥러닝,머신러닝,블록체인,빅데이터,249
(주)베스텔라랩,서울 마포구 외,1 ~ 7년 · 정규직,"대학(2,3년)↑",데이터분석가,백엔드/서버개발,웹개발,프론트엔드,SE(시스템엔지니어),223
롯데정보통신(주),서울전체 외,3 ~ 9년 · 정규직,대학교(4년)↑,데이터분석가,데이터엔지니어,SE(시스템엔지니어),데이터마이닝,데이터시각화,210
(주)베스텔라랩,대구전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑",백엔드/서버개발,앱개발,웹개발,인프라,Android,210
㈜해커스교육그룹,서울 서초구,신입 · 경력 · 정규직,학력무관,기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발,207
(주)케이티넥스알,서울전체 외,4 ~ 10년 · 정규직,대학교(4년)↑,데이터분석가,데이터엔지니어,SE(시스템엔지니어),데이터마이닝,데이터시각화,199
(주)미소정보기술,서울 강남구,신입 · 경력 · 정규직,고졸↑,웹개발,네트워크,빅데이터,Java,Javascript,178
(주)마키나락스,서울 서초구 외,신입 · 경력 · 정규직,학력무관,데이터분석가,딥러닝,머신러닝,블록체인,빅데이터,179
㈜엘오티베큠,경기 오산시,신입 · 경력 · 정규직,대학교(4년)↑,빅데이터,LabVIEW,Python,연구원,기술연구,174
(주)엑셈,서울 강서구 외,신입 · 경력 · 정규직,"대학(2,3년)↑",기술지원,앱개발,웹개발,SE(시스템엔지니어),Windows,172
디딤365(주),서울 금천구,신입 · 경력 · 정규직,"대학(2,3년)↑",백엔드/서버개발,SE(시스템엔지니어),머신러닝,빅데이터,클라우드,171
(주)푸드테크,서울 강남구 외,신입 · 경력 · 정규직,"대학(2,3년)↑",데이터분석가,데이터엔지니어,빅데이터,클라우드,AWS,167
(주)마크클라우드,서울 강남구 외,신입 · 경력 · 정규직,대학교(4년)↑,웹개발,퍼블리셔,프론트엔드,반응형웹,웹표준·웹접근성,149
(주)펀진,서울 성동구 외,신입 · 경력 · 정규직,대학교(4년)↑,데이터분석가,딥러닝,머신러닝,블록체인,빅데이터,150
(주)바이브컴퍼니,서울 용산구,신입 · 정규직,대학교(4년)↑,기술지원,백엔드/서버개발,웹개발,프론트엔드,빅데이터,148
메타빌드(주),서울 서초구,신입 · 경력 · 정규직,학력무관,웹개발,프론트엔드,미들웨어,Java,Spring,148
메디컬아이피(주),서울 종로구 외,신입 · 경력 · 정규직 외,학력무관,데이터분석가,데이터엔지니어,백엔드/서버개발,프론트엔드,QA/테스터,149
(주)이랜드이노플,서울전체 외,3 ~ 5년 · 정규직,대학교(4년)↑,백엔드/서버개발,웹개발,프론트엔드,DBA,.NET,150
에이아이티스토리(주),서울 서초구,경력무관 · 정규직,학력무관,웹개발,DBA,모델링,빅데이터,솔루션,144
(주)피플펀드컴퍼니,서울 서초구 외,신입 · 경력 · 정규직,대학교(4년)↑,데이터분석가,백엔드/서버개발,웹개발,딥러닝,머신러닝,145
(주)해줌,서울전체 외,5 ~ 20년 · 정규직,"대학(2,3년)↑",백엔드/서버개발,웹개발,프론트엔드,DBA,SE(시스템엔지니어),142
(주)11시11분,서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑,웹개발,Java,MySQL,OracleDB,Spark,124
(주)데이터유니버스,서울 영등포구,신입 · 경력 · 정규직 외,대학교(4년)↑,백엔드/서버개발,웹개발,웹마스터,유지보수,퍼블리셔,121
